sep=|
#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
26381781|2021-04-05T02:15:50.240000|42.7662|13.157|10.3|SURVEY-INGV||||ML|1.1|--|6 km SE Norcia (PG)
26381821|2021-04-05T02:57:45.900000|43.3163|12.7192|13.3|SURVEY-INGV||||ML|0.6|--|3 km SW Sigillo (PG)
26381871|2021-04-05T02:59:40.010000|42.808|13.1908|9.1|SURVEY-INGV||||ML|1.2|--|8 km E Norcia (PG)
26381911|2021-04-05T03:41:32.570000|42.8662|12.6923|11.1|SURVEY-INGV||||ML|1.0|--|4 km SE Montefalco (PG)
26382071|2021-04-05T04:39:02.190000|41.4078|19.5207|8.0|SURVEY-INGV||||ML|3.4|--|Costa Albanese settentrionale (ALBANIA)
26382181|2021-04-05T04:50:51.760000|43.4018|12.4392|10.2|SURVEY-INGV||||ML|0.8|--|5 km S Pietralunga (PG)
26382211|2021-04-05T04:52:36.890000|42.7982|13.116|10.2|SURVEY-INGV||||ML|1.2|--|2 km E Norcia (PG)
26382301|2021-04-05T05:26:51.500000|42.9038|12.9662|10.0|SURVEY-INGV||||ML|1.2|--|3 km E Sellano (PG)
26382341|2021-04-05T05:30:49.210000|43.359|12.5238|8.4|SURVEY-INGV||||ML|0.7|--|5 km W Gubbio (PG)
26382381|2021-04-05T05:36:52.520000|37.76|14.995|0.7|SURVEY-INGV-CT#SeismPicker_SO-OE||||ML|1.2|--|11 km W Milo (CT)
26382401|2021-04-05T05:49:19.240000|43.434|12.4585|7.4|SURVEY-INGV||||ML|1.0|--|2 km SE Pietralunga (PG)
26382511|2021-04-05T06:46:16.220000|41.7598|13.7103|9.5|SURVEY-INGV||||ML|1.2|--|3 km NE Campoli Appennino (FR)
26382651|2021-04-05T07:37:53.162000|-37.582|179.499|10.2|SURVEY-INGV-A||||Mwp|6.0|--|Off east coast of North Island, New Zealand [Sea: New Zealand]
26382871|2021-04-05T08:19:42.490000|42.8592|13.2292|8.9|SURVEY-INGV||||ML|0.7|--|7 km SE Castelsantangelo sul Nera (MC)
26382881|2021-04-05T08:20:36.180000|43.3763|12.5055|5.8|SURVEY-INGV||||ML|0.8|--|6 km W Gubbio (PG)
26382941|2021-04-05T08:34:13.330000|42.7592|12.7112|7.2|SURVEY-INGV||||ML|1.3|--|3 km NW Spoleto (PG)
26382961|2021-04-05T08:36:59.520000|42.868|13.0897|13.3|SURVEY-INGV||||Md|1.1|--|4 km E Preci (PG)
26383321|2021-04-05T10:31:57.230000|43.4843|12.4138|8.6|SURVEY-INGV||||ML|0.5|--|5 km NW Pietralunga (PG)
26383401|2021-04-05T10:54:38.100000|43.364|12.764|13.0|SURVEY-INGV||||ML|1.3|--|4 km NE Sigillo (PG)
26383571|2021-04-05T11:43:37.540000|43.3657|12.7473|12.8|SURVEY-INGV||||ML|1.1|--|3 km E Costacciaro (PG)
26383831|2021-04-05T13:01:24.190000|36.8392|14.8238|25.5|SURVEY-INGV||||ML|1.5|--|6 km E Modica (RG)
26383911|2021-04-05T13:15:07.520000|43.4215|12.9318|14.8|SURVEY-INGV||||ML|0.8|--|1 km SW Genga (AN)
26383931|2021-04-05T13:24:08.000000|43.4808|12.4257|8.5|SURVEY-INGV||||ML|1.3|--|4 km N Pietralunga (PG)
26383981|2021-04-05T13:27:35.320000|43.115|13.0618|16.7|SURVEY-INGV||||ML|0.9|--|2 km S Camerino (MC)
26384031|2021-04-05T13:44:15.480000|46.8175|9.9547|11.6|SURVEY-INGV||||ML|1.5|--|Confine Austria-Svizzera (AUSTRIA, SVIZZERA)
26384211|2021-04-05T14:19:28.200000|38.0302|14.6968|7.9|SURVEY-INGV||||ML|1.5|--|1 km NW Alcara li Fusi (ME)
26384781|2021-04-05T16:29:19.310000|38.0103|14.6972|7.7|SURVEY-INGV||||ML|2.0|--|1 km S Alcara li Fusi (ME)
26384821|2021-04-05T16:30:21.680000|43.4835|12.4178|8.4|SURVEY-INGV||||ML|1.1|--|5 km NW Pietralunga (PG)
26384931|2021-04-05T16:59:42.340000|38.0042|14.6993|8.8|SURVEY-INGV||||ML|2.5|--|2 km S Alcara li Fusi (ME)
26385221|2021-04-05T18:32:36.880000|42.6727|16.0892|9.6|SURVEY-INGV||||ML|2.7|--|Adriatico Centrale (MARE)
26385301|2021-04-05T19:09:40.000000|42.8078|13.1198|11.1|SURVEY-INGV||||ML|1.2|--|3 km NE Norcia (PG)
26385461|2021-04-05T20:05:06.750000|42.8018|13.1157|9.0|SURVEY-INGV||||ML|3.0|--|2 km E Norcia (PG)
26385531|2021-04-05T20:07:56.560000|42.8177|13.1167|10.5|SURVEY-INGV||||ML|1.3|--|3 km NE Norcia (PG)
26385581|2021-04-05T20:20:23.850000|43.387|12.5232|6.6|SURVEY-INGV||||ML|0.9|--|6 km NW Gubbio (PG)
